,Unnamed: 0,Unnamed: 0.1,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
558,558,216,227,590777.409,6136729.676,130122.75,5522.108384,N,1025.938167,E,4,10,,23.019,M,39.415,M,0.8,0024*79,,Tree,,227,-,-,1034135478,-,-
557,557,215,226,590773.3225,6136729.257,130108.85,5522.108203,N,1025.934292,E,4,7,,22.87,M,39.415,M,1.9,0024*7D,,Tree,,226,-,-,1034135475,-,-
556,556,213,223,590769.5742,6136728.799,130041.3,5522.107998,N,1025.930736,E,4,7,,22.91,M,39.415,M,1.3,0024*75,,Tree,,223,-,-,1034135476,-,-
555,555,207,217,590739.9249,6136725.99,125852.05,5522.106813,N,1025.902622,E,4,11,,22.826,M,39.415,M,1,0024*7A,,Tree,,217,-,-,1034135702,-,-
554,554,205,215,590735.9046,6136725.777,125829.25,5522.106743,N,1025.898813,E,4,7,,22.953,M,39.415,M,1.3,0024*70,,Tree,,215,-,-,1034135703,-,-
553,553,202,212,590731.7504,6136725.325,125802.05,5522.106545,N,1025.894873,E,4,8,,22.953,M,39.415,M,2,0024*74,,Tree,,212,-,-,1034135470,-,-
552,552,187,197,590764.2198,6136710.408,125211.85,5522.098145,N,1025.925311,E,4,12,,22.928,M,39.415,M,0.9,0024*7E,,Tree,,197,-,-,1034135473,-,-
551,551,186,196,590760.3238,6136709.978,125200.8,5522.097956,N,1025.921615,E,4,11,,22.924,M,39.415,M,0.8,0024*76,,Tree,,196,-,-,1034135705,-,-
550,550,185,195,590756.3487,6136709.661,125148.15,5522.09783,N,1025.917847,E,4,10,,22.918,M,39.415,M,1.1,0024*77,,Tree,,195,-,-,1034135706,-,-
549,549,170,179,590729.6419,6136688.989,124450.95,5522.086983,N,1025.892171,E,4,8,,23.084,M,39.415,M,2,0024*7D,,Tree,,179,-,-,1034135711,-,-
548,548,169,177,590734.2001,6136689.406,124429.75,5522.087158,N,1025.896493,E,4,7,,22.771,M,39.415,M,1.8,0024*76,,Tree,,177,-,-,1034135708,-,-
547,547,166,174,590739.1133,6136689.924,124336.65,5522.087382,N,1025.901152,E,4,8,,22.792,M,39.415,M,0.6,0024*75,,Tree,,174,-,-,1034135709,-,-
546,546,114,119,590661.1288,6136729.368,110457.1,5522.109506,N,1025.828118,E,4,7,,22.94,M,39.413,M,1.1,0008*7D,,Tree,,119,-,-,1103670864,-,-
545,545,113,118,590654.878,6136728.419,110443.5,5522.109064,N,1025.822184,E,4,7,,23.153,M,39.413,M,1.5,0008*7D,,Tree,,118,-,-,1103670765,-,-
544,544,112,117,590657.2424,6136722.854,110427.25,5522.106038,N,1025.824314,E,4,7,,23.174,M,39.413,M,1.3,0008*70,,Tree,,117,-,-,1103670440,-,-
543,543,110,115,590655.6799,6136716.079,110327.85,5522.102404,N,1025.822703,E,5,6,,23.397,M,39.413,M,0.9,0008*7B,,Tree,,115,-,-,1103670623,-,-
542,542,109,114,590659.9383,6136716.214,110240.5,5522.10243,N,1025.826736,E,4,8,,23.085,M,39.413,M,1.5,0008*72,,Tree,,114,-,-,1103670421,-,-
541,541,102,106,590677.8243,6136704.308,105755.1,5522.095814,N,1025.843431,E,5,10,,22.006,M,39.413,M,1.1,0008*7D,,Tree,,106,-,-,1067406484,-,-
540,540,101,105,590679.2639,6136717.493,105704.2,5522.102905,N,1025.84505,E,4,9,,23.726,M,39.413,M,2.2,0008*77,,Tree,,105,-,-,1103670438,-,-
