,Unnamed: 0,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
224,421,139,590658.5225,6136791.911,114908.15,5522.143245,N,1025.826868,E,4,9,1.4,24.602,M,39.413,M,1.1,0013*74,,new_Downspout Grille,,139,-,-,1034152871,-,-
225,433,147,590695.5747,6136746.041,115533.9,5522.118111,N,1025.861041,E,4,15,0.8,23.413,M,39.413,M,0.9,0013*78,,new_Downspout Grille,,147,-,-,1034152870,-,-
226,434,149,590679.4624,6136744.452,115605.3,5522.117433,N,1025.845762,E,4,12,1.2,23.414,M,39.413,M,1.3,0013*79,,new_Downspout Grille,,149,-,-,-,-,-
227,385,151,590705.2847,6136738.289,112821.55,5522.113825,N,1025.870079,E,4,14,0.8,23.391,M,39.413,M,1.5,0007*7D,,new_Downspout Grille,,151,-,-,-,-,-
228,506,152,590713.9406,6136673.26,122843.05,5522.07868,N,1025.877006,E,4,11,1.2,22.347,M,39.413,M,1,0013*78,,new_Downspout Grille,,152,-,-,-,-,-
229,507,154,590727.6166,6136674.633,122912.35,5522.079269,N,1025.889975,E,4,10,1.3,22.354,M,39.413,M,1.4,0013*78,,new_Downspout Grille,,154,-,-,1034152748,-,-
230,508,155,590740.6173,6136675.886,122935.1,5522.0798,N,1025.902303,E,4,8,1.4,22.347,M,39.413,M,1.1,0013*7C,,new_Downspout Grille,,155,-,-,1103669990,-,-
231,510,156,590759.2354,6136677.697,123013.4,5522.080569,N,1025.919957,E,4,10,1,22.418,M,39.413,M,1.4,0013*7A,,new_Downspout Grille,,156,-,-,1034152773,-,-
232,511,157,590774.1406,6136679.107,123035.7,5522.081164,N,1025.93409,E,4,9,1.6,22.299,M,39.413,M,1.7,0013*7F,,new_Downspout Grille,,157,-,-,1034152775,-,-
233,513,159,590790.5044,6136680.717,123111.3,5522.08185,N,1025.949607,E,4,10,1.3,22.398,M,39.413,M,1.3,0013*70,,new_Downspout Grille,,159,-,-,1034152776,-,-
234,514,159,590790.503,6136680.723,123111.55,5522.081854,N,1025.949606,E,4,10,1.3,22.403,M,39.413,M,1.5,0013*79,,new_Downspout Grille,,159,-,-,1034152778,-,-
