"Date: 11/09, Time: 11.00, Area: University Parking Lot",,,,,,,,,,,,
Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Exists?,Accessibility,Occluded Visibility,Domain,Category,Note (optional)
Nedloebsrist,Downspout Grille,1034152777,87,55.3678984,10.43219731,9/11/2020 12:42:14,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1202730955,88,55.36926284,10.43181692,9/11/2020 11:11:09,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152743,89,55.36869568,10.43252261,9/11/2020 11:35:01,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152748,90,55.36856362,10.43116775,9/11/2020 11:38:39,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152756,91,55.36844555,10.43192658,9/11/2020 12:11:33,Yes,20,0,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152760,92,55.36830835,10.43246096,9/11/2020 12:17:42,Yes,0,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152761,93,55.36832771,10.43245708,9/11/2020 12:17:26,Yes,0,29,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152762,94,55.36847073,10.43243842,9/11/2020 12:14:22,Yes,0,75,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152767,95,55.36813649,10.43221759,9/11/2020 12:33:34,Yes,0,50,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152769,96,55.36811339,10.4317115,9/11/2020 12:31:16,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152770,97,55.36810047,10.43141849,9/11/2020 12:28:05,Yes,0,31,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152746,98,55.36862152,10.43248521,9/11/2020 11:36:12,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152780,99,55.36803166,10.43249751,9/11/2020 12:37:31,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1202730952,100,55.36931293,10.43225882,9/11/2020 11:08:19,Yes,0,61,Public,True Positive,
Nedloebsrist,Downspout Grille,1202730953,101,55.36929794,10.43195089,9/11/2020 11:09:22,Yes,0,75,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152745,102,55.36862616,10.43260357,9/11/2020 11:35:58,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152747,103,55.36864087,10.43115602,9/11/2020 11:39:03,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152750,104,55.36844242,10.43138018,9/11/2020 12:03:37,Yes,0,25,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152751,105,55.36842619,10.43138496,9/11/2020 12:04:09,Yes,0,28,Public,False Positive,This looks like its just a duplicate of 125 (changed to False Positive after the fact)
Nedloebsrist,Downspout Grille,1034152752,106,55.36828188,10.43140611,9/11/2020 12:24:21,Yes,0,19,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152753,107,55.36826253,10.43140825,9/11/2020 12:24:40,Yes,0,17,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152755,108,55.3682745,10.43166825,9/11/2020 12:23:29,Yes,0,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152757,109,55.36843683,10.43170362,9/11/2020 12:10:13,Yes,0,44,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152758,110,55.36831686,10.43219444,9/11/2020 12:19:07,Yes,0,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152759,111,55.36829656,10.43219386,9/11/2020 12:18:52,Yes,0,28,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152765,112,55.36814659,10.43248368,9/11/2020 12:36:01,Yes,0,25,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152766,113,55.3681555,10.43221402,9/11/2020 12:35:12,Yes,0,33,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152768,114,55.36812464,10.43197148,9/11/2020 12:33:10,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152771,115,55.36812063,10.43142395,9/11/2020 12:27:22,Yes,0,25,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152871,116,55.36853044,10.43040204,9/11/2020 11:49:33,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669600,117,55.3683414,10.431235,9/11/2020 12:00:02,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669998,118,55.36808822,10.43226492,9/11/2020 12:34:06,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1103670001,119,55.36807034,10.43149693,9/11/2020 12:28:56,No,N/A,N/A,N/A,False Positive,
Nedloebsrist,Downspout Grille,1034152773,120,55.36798505,10.43149795,9/11/2020 12:57:07,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152775,121,55.36799741,10.43170826,9/11/2020 12:46:06,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1034152776,122,55.36800884,10.4319987,9/11/2020 12:45:41,Yes,100,100,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669749,123,55.36784576,10.43139715,9/11/2020 12:54:09,Yes,50,61,Public,True Positive,
Nedloebsrist,Downspout Grille,1103669801,124,55.36842394,10.43138473,9/11/2020 12:04:20,No,N/A,N/A,N/A,False Positive,This looks like its just a duplicate of 106
Nedloebsrist,Downspout Grille,1210521229,125,55.36927037,10.43134254,9/11/2020 11:12:33,Yes,0,75,Public,True Positive,
Trae,Tree,1034135470,126,55.36844045,10.43158651,9/11/2020 12:06:27,Yes,70,33,Public,True Positive,
Trae,Tree,1034135475,127,55.368472,10.43224596,9/11/2020 12:13:32,Yes,70,44,Public,True Positive,
Trae,Tree,1034135478,128,55.36847164,10.43230007,9/11/2020 12:13:50,Yes,70,44,Public,True Positive,
Trae,Tree,1034135702,129,55.36844748,10.43170779,9/11/2020 12:08:51,Yes,70,22,Public,True Positive,
Trae,Tree,1034135705,130,55.36829544,10.43202877,9/11/2020 12:20:14,Yes,70,25,Public,True Positive,
Trae,Tree,1034135711,131,55.3681152,10.4315339,9/11/2020 12:29:22,Yes,70,33,Public,True Positive,
Trae,Tree,1103670365,132,55.36835136,10.43115993,9/11/2020 11:58:36,Yes,100,100,Public,True Positive,
Trae,Tree,1103670391,133,55.36778203,10.43144487,9/11/2020 12:50:34,Yes,40,69,Public,True Positive,
