ID,x,latDir,y,lonDir,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
105,587669.1652,N,6139625.522,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
106,587658.9391,N,6139618.78,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
107,587652.5536,N,6139614.584,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
108,587647.2037,N,6139609.727,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
109,587636.0881,N,6139602.421,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
110,587625.5503,N,6139595.458,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
111,587633.5995,N,6139595.08,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
112,587638.0835,N,6139599.137,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
113,587649.2953,N,6139606.511,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
114,587661.7014,N,6139614.684,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
115,587670.7851,N,6139619.378,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
116,587671.9313,N,6139621.416,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
117,587680.0144,N,6139626.759,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
118,587690.1059,N,6139633.401,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
119,587697.986,N,6139639.262,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
120,587710.8197,N,6139651.546,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
121,587610.3878,N,6139590.646,E,Totalstation,Tree,downtown,13/12/2020,,,,,
122,587604.9432,N,6139578.663,E,Totalstation,Tree,downtown,13/12/2020,,,,,
123,587599.5178,N,6139576.579,E,Totalstation,Tree,downtown,13/12/2020,,,,,
124,587593.8638,N,6139574.398,E,Totalstation,Tree,downtown,13/12/2020,,,,,
125,587588.1311,N,6139572.313,E,Totalstation,Tree,downtown,13/12/2020,,,,,
126,587582.473,N,6139570.127,E,Totalstation,Tree,downtown,13/12/2020,,,,,
127,587569.9307,N,6139576.039,E,Totalstation,Tree,downtown,13/12/2020,,,,,
128,587564.5044,N,6139574.094,E,Totalstation,Tree,downtown,13/12/2020,,,,,
129,587559.1656,N,6139572.068,E,Totalstation,Tree,downtown,13/12/2020,,,,,
130,587553.2454,N,6139569.704,E,Totalstation,Tree,downtown,13/12/2020,,,,,
131,587547.7646,N,6139567.834,E,Totalstation,Tree,downtown,13/12/2020,,,,,
132,587526.4427,N,6139560.572,E,Totalstation,Tree,downtown,13/12/2020,,,,,
133,587525.4824,N,6139550.883,E,Totalstation,Tree,downtown,13/12/2020,,,,,
134,587620.4445,N,6139595.921,E,Totalstation,Tree,downtown,13/12/2020,,,,,
135,587604.6618,N,6139611.665,E,Totalstation,Tree,downtown,13/12/2020,,,,,
136,587602.501,N,6139624.089,E,Totalstation,Tree,downtown,13/12/2020,,,,,
137,587594.0253,N,6139638.511,E,Totalstation,Tree,downtown,13/12/2020,,,,,
138,587577.5671,N,6139658.49,E,Totalstation,Tree,downtown,13/12/2020,,,,,
139,587573.3657,N,6139676.055,E,Totalstation,Tree,downtown,13/12/2020,,,,,
140,587618.4847,N,6139588.842,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
141,587606.624,N,6139589.182,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
142,587609.6094,N,6139580.505,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
143,587596.2882,N,6139579.59,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
144,587573.9342,N,6139572.162,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
145,587574.0289,N,6139577.053,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
146,587572.5137,N,6139567.719,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
147,587552.2722,N,6139564.856,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
148,587543.803,N,6139565.89,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
149,587530.9086,N,6139557.132,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
