,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
181,191,55.36827311,10.43166879,125041.95,5522.096387,N,1025.900127,E,4,6,,22.197,M,39.415,M,0.9,0024*75,,Downspout Grille,,191,-,-,1034152755,-,-
182,192,55.36830532,10.43193009,125119.55,5522.098319,N,1025.915805,E,4,10,,22.308,M,39.415,M,1.5,0024*71,,Downspout Grille,,192,-,-,-,-,-
183,193,55.36828455,10.43192072,125129.65,5522.097073,N,1025.915243,E,4,8,,22.272,M,39.415,M,1.6,0024*78,,Downspout Grille,,193,-,-,-,-,-
188,198,55.36831704,10.43219449,125236.65,5522.099022,N,1025.931669,E,4,7,,22.33,M,39.415,M,0.6,0024*7C,,Downspout Grille,,198,-,-,1034152758,-,-
189,199,55.36829667,10.43219548,125245.25,5522.0978,N,1025.931729,E,4,8,,22.298,M,39.415,M,1.3,0024*78,,Downspout Grille,,199,-,-,1034152759,-,-
191,201,55.36832818,10.43245831,125333.5,5522.099691,N,1025.947499,E,4,8,,22.372,M,39.415,M,1.5,0024*7A,,Downspout Grille,,201,-,-,1034152761,-,-
192,202,55.36830731,10.43246038,125346.9,5522.098439,N,1025.947623,E,4,7,,22.274,M,39.415,M,0.9,0024*78,,Downspout Grille,,202,-,-,1034152760,-,-
198,208,55.36834496,10.43123406,125655.2,5522.100698,N,1025.874044,E,4,6,,21.393,M,39.415,M,1.2,0024*7B,,Downspout Grille,,208,-,-,1103669600,-,-
200,210,55.36844355,10.43137977,125728.75,5522.106613,N,1025.882786,E,4,7,,22.316,M,39.415,M,1.8,0024*72,,Downspout Grille,,210,-,-,1034152750,-,-
201,211,55.368424,10.43138429,125736.15,5522.10544,N,1025.883057,E,4,8,,22.134,M,39.415,M,1.1,0024*77,,Downspout Grille,,211,-,-,1103669801,-,-
204,214,55.36845631,10.43163555,125822.7,5522.107379,N,1025.898133,E,4,9,,22.194,M,39.415,M,1.7,0024*70,,Downspout Grille,,214,-,-,-,-,-
206,216,55.36843783,10.43170567,125840.65,5522.10627,N,1025.90234,E,4,10,,21.946,M,39.415,M,1.6,0024*7A,,Downspout Grille,,216,-,-,1034152757,-,-
209,219,55.36846726,10.43192607,125933.75,5522.108036,N,1025.915564,E,4,8,,22.221,M,39.415,M,1.8,0024*70,,Downspout Grille,,219,-,-,-,-,-
210,220,55.36844717,10.43193057,125947.45,5522.10683,N,1025.915834,E,4,10,,22.203,M,39.415,M,1.5,0024*75,,Downspout Grille,,220,-,-,1034152756,-,-
211,221,55.36847775,10.43215718,130014.6,5522.108665,N,1025.929431,E,4,10,,22.166,M,39.415,M,1.6,0024*73,,Downspout Grille,,221,-,-,-,-,-
212,222,55.36845767,10.43215688,130026.4,5522.10746,N,1025.929413,E,4,9,,22.058,M,39.415,M,1.4,0024*7E,,Downspout Grille,,222,-,-,-,-,-
217,228,55.36848974,10.43243696,130141.5,5522.109384,N,1025.946218,E,4,8,,22.212,M,39.415,M,1.5,0024*7A,,Downspout Grille,,228,-,-,1034152763,-,-
218,229,55.36847031,10.43244217,130149.35,5522.108219,N,1025.94653,E,4,7,,22.16,M,39.415,M,1.4,0024*7E,,Downspout Grille,,229,-,-,1034152762,-,-
228,240,55.36853693,10.43120904,130735.55,5522.112216,N,1025.872542,E,4,9,,21.216,M,39.415,M,1.5,0024*78,,Downspout Grille,,240,-,-,1034152749,-,-
230,242,55.36864145,10.43115724,130819.3,5522.118487,N,1025.869434,E,4,7,,21.434,M,39.415,M,1.3,0024*77,,Downspout Grille,,242,-,-,1034152747,-,-
231,243,55.3686718,10.43117647,130839.05,5522.120308,N,1025.870588,E,4,9,,21.816,M,39.415,M,2,0024*70,,Downspout Grille,,243,-,-,-,-,-
233,245,55.36877652,10.43116296,130920.25,5522.126591,N,1025.869778,E,4,9,,21.386,M,39.415,M,1.3,0024*78,,Downspout Grille,,245,-,-,-,-,-
239,252,55.36891972,10.43257002,131246.15,5522.135183,N,1025.954201,E,4,7,,21.303,M,39.415,M,1.1,0024*77,,Downspout Grille,Round Downspout Grille,252,-,-,-,-,-
