,oldId,ID,time,x,y,fix,nSat,hError,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
70,99,70,122747.3,587832.2262,6137442.125,4,11,0.9,,Light Fixture,,08/11/2020,25027,,,,
71,103,71,122922.8,587828.5518,6137413.426,4,14,0.8,Outside,Light Fixture,,08/11/2020,,,,,
72,92,72,,587840.3962,6137507.483,,,,Totalstation,Light Fixture,,12/12/2020,25026,,1034160225,,
73,12,73,112718.85,587845.0228,6137530.942,4,6,4.3,,Manhole Cover,,08/11/2020,,,1034160394,,63d03772-4bd1-405c-ba68-a231844d13d7
74,15,74,112932.2,587833.5979,6137533.52,4,8,1.4,,Manhole Cover,,08/11/2020,,,1034127799,,5c6938b1-9538-4e3b-8497-ddc11b9f48ca
75,18,75,113055.25,587789.0149,6137542.902,4,8,1.9,,Manhole Cover,,08/11/2020,,,1034127810,,2ef30cc7-0b29-4033-8e96-658c1082c9af
76,22,76,113354.4,587774.8738,6137565.076,4,9,1.2,,Manhole Cover,,08/11/2020,,,1034127808,,8dd6a07c-8463-4969-986e-2a2680ba3e76
77,23,77,113419.55,587774.5938,6137570.961,4,7,2.6,,Manhole Cover,,08/11/2020,,{E49B4868-6DFE-45DB-8C5F-2CC7CF72232D},1034127807,,
78,36,78,114124.4,587846.0276,6137638.994,4,7,2.4,Outside,Manhole Cover,,08/11/2020,,,,,
79,37,79,114152.05,587847.2372,6137644.586,4,9,1.1,Outside,Manhole Cover,,08/11/2020,,,,,
80,45,80,114633.1,587805.8277,6137614.959,4,12,0.9,,Manhole Cover,,08/11/2020,,,1034127801,,14bf0b65-cd6c-4989-bed9-8c0a6592c6bb
81,51,81,114918.15,587756.9574,6137583.885,4,8,1.4,,Manhole Cover,,08/11/2020,,,,,a81a719b-dd61-48a2-a471-449d54d7cc80
82,65,82,115836.55,587810.5435,6137511.323,4,6,1.4,,Manhole Cover,,08/11/2020,,{2815E3AF-FADE-49B9-A5F8-7F5ADBCF45ED},1034127811,,
83,71,83,120656.25,587783.8963,6137472.129,4,9,1.1,,Manhole Cover,,08/11/2020,,,1034127812,,22fb5a3c-5805-4a80-8733-c497f519c731
84,86,84,121449.95,587827.9175,6137486.704,4,6,7,,Manhole Cover,,08/11/2020,,,1034127800,,17cfdb59-a202-41f6-8f98-dc3220f42819
85,88,85,121646,587835.5422,6137492.16,4,9,1.2,,Manhole Cover,,08/11/2020,,{4F5126EF-F031-4DE2-9BE3-0B370A5FEBCB},1034160396,,
86,89,86,121757.25,587837.1296,6137524.969,4,10,1.4,,Manhole Cover,,08/11/2020,,,1034160395,,3047363d-3331-44a1-bc33-666dc2a19bef
87,98,87,122727.45,587827.2709,6137446.019,4,9,1.1,,Manhole Cover,,08/11/2020,,,1034160397,,46c14bbe-78ce-4b5b-ad59-10cf6463a209
88,104,88,122954.65,587819.1117,6137414.713,4,7,1.7,Outside,Manhole Cover,,08/11/2020,,,,,
89,0,89,110029.95,587918.0134,6137527.337,4,7,1.6,,Tree,,08/11/2020,,,,,
90,1,90,110318,587912.9455,6137521.843,4,7,2,,Tree,,08/11/2020,,,1034137041,,
91,3,91,111134.75,587903.8572,6137527.367,5,9,1.4,,Tree,,08/11/2020,,,,,
92,4,92,111517.5,587903.956,6137521.675,5,11,1.1,,Tree,,08/11/2020,,,,,
93,5,93,111626.95,587898.5399,6137523.473,5,11,0.9,,Tree,,08/11/2020,,,1034137039,,
94,6,94,111732.7,587889.1064,6137523.322,5,13,0.8,,Tree,,08/11/2020,,,1034137040,,
95,7,95,111846.2,587889.827,6137530.677,5,10,1.1,,Tree,,08/11/2020,,,,,
96,25,96,113552.85,587771.1513,6137588.353,4,11,0.8,,Tree,,08/11/2020,,,1034115491,29170,
97,26,97,113619.7,587777.0007,6137591.821,4,11,0.8,,Tree,,08/11/2020,,,1034115492,4402,
98,30,98,113754.15,587812.5849,6137613.771,4,10,0.9,,Tree,,08/11/2020,,,,33357,
99,31,99,113820.45,587820.1768,6137619.269,4,9,1,,Tree,,08/11/2020,,,1034115485,418,
100,41,100,114341.4,587815.2499,6137627.163,4,11,0.9,Outside,Tree,,08/11/2020,,,,,
101,43,101,114422.8,587798.18,6137615.541,4,10,0.9,,Tree,,08/11/2020,,,1034115487,23671,
102,46,102,114705.1,587783.2534,6137606.011,4,9,1.1,,Tree,,08/11/2020,,,1034115488,23679,
103,49,103,114824.7,587764.9236,6137595.457,4,10,1.2,,Tree,,08/11/2020,,,1034115490,29205,
104,50,104,114855.1,587754.2279,6137589.27,4,10,1.1,Outside,Tree,,08/11/2020,,,,,
105,53,105,115027.25,587725.1587,6137574.529,5,6,1.4,Outside,Tree,,08/11/2020,,,,,
106,54,106,115055.45,587729.619,6137566.538,4,7,1.4,Outside,Tree,,08/11/2020,,,,,
107,108,107,,587828.2682,6137509.111,,,,Totalstation,Tree,,12/12/2020,,,,24896,
108,109,108,,587828.1227,6137515.385,,,,Totalstation,Tree,,12/12/2020,,,,26335,
109,110,109,,587818.2572,6137508.501,,,,Totalstation,Tree,,12/12/2020,,,,23787,
110,123,110,125202.5,587923.9674,6137520.468,5,11,1,,Tree,,08/11/2020,,,1034137042,,
111,126,111,,6137500.471,6137500.471,,,,Totalstation,Tree,,12/12/2020,,,,24857,
112,129,112,,587828.0508,6137502.122,,,,Totalstation,Tree,,12/12/2020,,,,13003,
113,142,113,134803.65,587752.5554,6137510.62,4,5,2.4,,Tree,,14/11/2020,,,,13001,
114,144,114,135019.95,587737.412,6137516.968,4,5,2.8,,Tree,,14/11/2020,,,,13002,
115,48,115,114806.95,587772.1256,6137599.343,4,11,1.2,,Tree,Stump,08/11/2020,,,1034115489,,
116,56,116,115139.65,587737.8018,6137570.764,4,11,0.8,Outside,Tree,Stump,08/11/2020,,,,,
117,,117,,587889.383,6137523.396,,,,Totalstation,Tree,,23/01/2021,,,,,
118,,118,,587889.45,6137529.06,,,,Totalstation,Tree,,23/01/2021,,,,,
119,,119,,587898.795,6137522.358,,,,Totalstation,Tree,,23/01/2021,,,,,
120,,120,,587905.188,6137527.603,,,,Totalstation,Tree,,23/01/2021,,,,,
121,,121,,587904.066,6137521.773,,,,Totalstation,Tree,,23/01/2021,,,,,
122,,122,,587913.087,6137520.829,,,,Totalstation,Tree,,23/01/2021,,,,,
123,,123,,587917.601,6137526.098,,,,Totalstation,Tree,,23/01/2021,,,,,
124,,124,,587924.179,6137519.703,,,,Totalstation,Tree,,23/01/2021,,,,,
