#,id,name,description,geometry
int,int,str,str,str
43,1071767128,Bygning,Bygning,"Polygon;587650.48,6139543.77;587657.79,6139556.86;587634.51,6139571.55;587634.16,6139573.52;587632.42,6139574.71;587630.17,6139574.21;587636.18,6139556.85;587637.83,6139557.4;587643.04,6139554.06;587643.17,6139553.24;587645.74,6139551.83;587646.35,6139552.0;587649.34,6139550.22;587647.78,6139547.32;587642.99,6139545.63;587644.4,6139541.63;587650.48,6139543.77"
44,1071727920,Bygning,Bygning,"Polygon;587709.29,6139564.05;587709.84,6139566.45;587707.23,6139567.04;587706.93,6139565.73;587700.5,6139567.19;587700.67,6139567.94;587700.43,6139569.03;587699.68,6139569.77;587698.73,6139569.99;587697.74,6139569.63;587697.08,6139568.76;587696.95,6139568.19;587691.78,6139569.36;587692.04,6139570.5;587691.55,6139571.51;587689.89,6139571.82;587689.03,6139571.21;587688.73,6139570.05;587683.78,6139571.33;587681.13,6139561.06;587705.95,6139554.83;587706.01,6139555.21;587707.9,6139563.0;587709.29,6139564.05"
45,1071727921,Bygning,Bygning,"Polygon;587706.01,6139555.21;587713.87,6139553.9;587725.42,6139555.66;587726.23,6139555.98;587726.9,6139556.51;587727.42,6139557.2;587727.74,6139557.99;587727.81,6139559.0;587722.65,6139578.39;587713.7,6139575.82;587716.74,6139565.22;587715.77,6139563.69;587713.95,6139563.23;587709.29,6139564.05;587707.9,6139563.0;587706.01,6139555.21"
46,1071755650,Bygning,Bygning,"Polygon;587644.25,6139681.11;587641.22,6139686.52;587632.48,6139702.17;587629.57,6139707.38;587602.42,6139755.98;587597.84,6139753.4;587595.57,6139752.18;587597.66,6139748.3;587595.41,6139747.08;587596.51,6139745.04;587595.52,6139744.51;587599.85,6139736.5;587600.68,6139736.95;587610.83,6139718.17;587609.89,6139717.66;587614.3,6139709.51;587617.51,6139711.25;587618.15,6139710.07;587616.7,6139709.28;587618.52,6139705.92;587618.29,6139705.8;587618.71,6139705.02;587617.4,6139704.31;587620.18,6139699.18;587622.2,6139700.27;587626.86,6139691.65;587629.74,6139693.21;587638.8,6139678.07;587637.8,6139677.47;587638.94,6139675.57;587640.03,6139676.22;587641.15,6139674.34;587640.19,6139673.77;587642.84,6139669.33;587643.91,6139669.97;587644.26,6139669.4;587642.6,6139668.4;587647.58,6139660.08;587648.92,6139660.88;587652.13,6139655.52;587649.08,6139653.7;587658.27,6139638.34;587662.13,6139637.89;587662.32,6139639.01;587663.05,6139638.92;587664.74,6139639.92;587666.31,6139637.26;587662.47,6139637.72;587657.43,6139634.47;587663.63,6139624.15;587673.77,6139630.93;587644.25,6139681.11"
47,1071768045,Bygning,Bygning,"Polygon;587584.76,6139610.76;587584.41,6139610.56;587576.91,6139607.51;587585.39,6139583.32;587593.67,6139586.48;587585.89,6139607.68;587584.76,6139610.76"
48,1071768046,Bygning,Bygning,"Polygon;587585.89,6139607.68;587593.67,6139586.48;587593.83,6139586.12;587608.12,6139592.68;587608.75,6139593.55;587609.05,6139594.61;587608.99,6139595.68;587598.3,6139614.15;587585.89,6139607.68"
49,1071755634,Bygning,Bygning,"Polygon;587618.58,6139642.66;587616.82,6139646.31;587613.7,6139651.52;587610.95,6139649.87;587608.53,6139653.91;587604.92,6139651.83;587602.01,6139650.16;587603.08,6139648.29;587594.21,6139643.24;587597.77,6139637.21;587595.39,6139635.84;587598.09,6139631.15;587600.21,6139632.38;587600.52,6139632.56;587608.29,6139636.93;587615.64,6139641.1;587618.58,6139642.66"
50,1071768038,Bygning,Bygning,"Polygon;587516.74,6139602.42;587515.48,6139601.97;587519.71,6139590.19;587519.26,6139590.03;587521.67,6139583.33;587524.16,6139584.22;587525.29,6139581.1;587517.03,6139578.13;587519.33,6139571.74;587515.05,6139570.2;587519.59,6139559.73;587541.19,6139567.48;587540.94,6139568.18;587528.75,6139598.46;587527.82,6139600.22;587524.87,6139605.85;587524.52,6139606.51;587516.74,6139602.42"
51,1034235654,Bygning,Bygning,"Polygon;587549.87,6139633.84;587546.42,6139631.8;587548.72,6139627.9;587552.17,6139629.94;587549.87,6139633.84"
52,1034235609,Bygning,Bygning,"Polygon;587703.49,6139538.67;587711.06,6139537.27;587711.77,6139541.15;587704.2,6139542.54;587703.49,6139538.67"
