#,id,description,geometry
int,int,str,str
15,1034480008,Broenddaeksel,"Point;587259.55,6141134.62"
16,1103668917,Mast,"Point;587339.0,6141110.35"
17,1103668957,Mast,"Point;587320.18,6141099.04"
18,1103668969,Mast,"Point;587239.25,6141180.05"
19,1103668985,Mast,"Point;587259.4,6141015.2"
20,1103669104,Mast,"Point;587307.33,6141182.58"
21,1103669160,Mast,"Point;587296.75,6141159.32"
22,1103669199,Mast,"Point;587262.13,6141102.83"
23,1103669238,Mast,"Point;587357.78,6141121.4"
24,1103669263,Mast,"Point;587260.34,6141056.4"
25,1103669276,Mast,"Point;587247.24,6141128.63"
26,1103669286,Mast,"Point;587278.11,6141074.91"
27,1103669349,Mast,"Point;587265.19,6141141.41"
28,1103669352,Mast,"Point;587381.69,6141080.16"
29,1103668473,Hegn,"LineString;587235.14,6141048.62;587235.19,6141009.34"
30,1103668326,Hegn,"LineString;587256.68,6141149.69;587246.78,6141167.23;587237.5,6141162.1;587247.18,6141144.34;587256.68,6141149.69"
31,1103670790,Trae,"Point;587254.39,6141146.17"
32,1103669460,Nedloebsrist,"Point;587239.03,6141024.55"
33,1103669511,Nedloebsrist,"Point;587375.69,6141064.61"
34,1103669524,Nedloebsrist,"Point;587224.52,6141097.7"
35,1103669532,Nedloebsrist,"Point;587375.56,6141065.75"
36,1103669661,Nedloebsrist,"Point;587239.24,6141069.83"
37,1103669722,Nedloebsrist,"Point;587230.65,6141112.49"
38,1103669788,Nedloebsrist,"Point;587337.42,6141162.94"
39,1103669859,Nedloebsrist,"Point;587223.91,6141069.06"
40,1103669934,Nedloebsrist,"Point;587239.01,6141039.04"
41,1103669944,Nedloebsrist,"Point;587376.78,6141062.32"
42,1103669950,Nedloebsrist,"Point;587224.28,6141083.82"
43,1103669961,Nedloebsrist,"Point;587359.01,6141124.87"
44,1103669962,Nedloebsrist,"Point;587224.55,6141112.59"
45,1103669996,Nedloebsrist,"Point;587223.88,6141053.87"
46,1103670006,Nedloebsrist,"Point;587378.93,6141058.23"
47,1103670021,Nedloebsrist,"Point;587387.52,6141075.37"
48,1103670055,Nedloebsrist,"Point;587230.74,6141083.33"
49,1034479990,Nedloebsrist,"Point;587366.45,6141068.83"
50,1034479991,Nedloebsrist,"Point;587370.35,6141063.0"
51,1034479992,Nedloebsrist,"Point;587346.27,6141057.28"
52,1034479993,Nedloebsrist,"Point;587351.67,6141052.06"
53,1034479994,Nedloebsrist,"Point;587342.63,6141045.49"
54,1034479998,Nedloebsrist,"Point;587302.21,6141068.78"
55,1034480000,Nedloebsrist,"Point;587325.23,6141045.91"
56,1113474022,Chikane,"LineString;587231.95,6141079.92;587227.2,6141079.95"
57,1103667885,Chikane,"LineString;587339.92,6141129.59;587346.25,6141133.21;587345.02,6141135.1;587338.89,6141131.38"
58,1103667902,Chikane,"LineString;587270.3,6141065.98;587270.73,6141066.05;587271.28,6141066.6;587271.73,6141067.41;587272.17,6141072.82;587272.06,6141073.23;587271.88,6141073.63;587271.41,6141073.96;587270.16,6141074.4;587263.54,6141074.67;587262.26,6141074.41;587260.97,6141073.57;587260.35,6141072.51;587259.98,6141071.12;587259.94,6141069.77;587260.34,6141068.41;587261.4,6141067.42;587264.18,6141066.83;587270.3,6141065.98"
