#,id,description,geometry
int,int,str,str
38,1095495011,Bygning,"Polygon;587894.12,6137576.44;587891.78,6137576.69;587891.56,6137574.67;587893.9,6137574.43;587894.12,6137576.44"
39,1071752075,Bygning,"Polygon;587882.62,6137511.32;587886.84,6137510.93;587887.45,6137517.66;587882.4,6137518.12;587882.18,6137515.64;587883.0,6137515.57;587882.62,6137511.32"
40,1034235014,Bygning,"Polygon;587826.85,6137551.19;587830.52,6137550.78;587831.18,6137556.65;587827.51,6137557.06;587826.85,6137551.19"
41,1034235015,Bygning,"Polygon;587814.19,6137545.78;587822.71,6137544.68;587822.98,6137546.71;587825.86,6137546.34;587826.76,6137553.02;587823.89,6137553.4;587823.93,6137553.78;587815.41,6137554.87;587814.19,6137545.78"
42,1034235036,Bygning,"Polygon;587885.66,6137538.54;587889.09,6137538.13;587889.97,6137545.52;587886.56,6137545.93;587885.66,6137538.54"
43,1034235037,Bygning,"Polygon;587875.74,6137550.99;587884.87,6137549.76;587885.24,6137552.53;587885.73,6137552.46;587886.39,6137557.27;587888.29,6137557.01;587889.38,6137564.99;587879.77,6137566.3;587879.21,6137562.15;587877.29,6137562.4;587875.74,6137550.99"
44,1034235038,Bygning,"Polygon;587862.4,6137599.46;587873.02,6137598.04;587874.2,6137606.84;587863.58,6137608.26;587862.4,6137599.46"
45,1034235042,Bygning,"Polygon;587852.96,6137615.67;587862.77,6137614.38;587862.65,6137613.56;587866.49,6137613.06;587866.6,6137613.86;587875.39,6137612.71;587876.42,6137620.5;587877.24,6137620.4;587877.65,6137623.54;587871.64,6137624.29;587871.28,6137621.48;587854.0,6137623.78;587852.96,6137615.67"
46,1034235047,Bygning,"Polygon;587842.79,6137584.2;587843.92,6137590.71;587839.75,6137591.43;587838.63,6137584.92;587842.79,6137584.2"
47,1034235086,Bygning,"Polygon;587918.85,6137568.14;587925.33,6137567.39;587924.97,6137564.29;587932.5,6137563.42;587932.84,6137566.31;587938.5,6137565.66;587939.36,6137573.04;587926.25,6137574.56;587926.22,6137574.29;587919.66,6137575.05;587918.85,6137568.14"
48,1034235089,Bygning,"Polygon;587844.17,6137589.14;587844.44,6137589.1;587844.11,6137586.51;587848.65,6137585.94;587848.99,6137588.63;587854.44,6137587.94;587854.27,6137586.63;587856.6,6137586.34;587857.13,6137586.42;587857.48,6137586.55;587857.89,6137586.8;587858.53,6137587.21;587858.58,6137587.62;587859.18,6137592.45;587857.28,6137592.69;587857.81,6137596.92;587852.46,6137597.59;587852.52,6137598.09;587849.74,6137598.44;587849.68,6137597.92;587845.34,6137598.47;587844.17,6137589.14"
49,1095486825,Bygning,"Polygon;587911.9,6137501.34;587909.7,6137501.66;587908.78,6137495.25;587910.99,6137494.94;587911.9,6137501.34"
50,1034234993,Bygning,"Polygon;587779.96,6137486.64;587783.17,6137481.56;587786.42,6137483.62;587784.83,6137486.12;587786.88,6137487.41;587785.25,6137489.99;587779.96,6137486.64"
51,1034234995,Bygning,"Polygon;587722.89,6137505.95;587727.64,6137496.86;587737.79,6137502.16;587733.04,6137511.25;587722.89,6137505.95"
52,1071759983,Bygning,"Polygon;587906.84,6137461.91;587909.44,6137461.59;587909.19,6137459.55;587912.78,6137459.1;587913.69,6137466.42;587910.07,6137466.87;587910.05,6137466.71;587906.9,6137467.1;587906.33,6137462.53;587906.91,6137462.46;587906.84,6137461.91"
53,1071717759,Bygning,"Polygon;587804.33,6137430.37;587804.69,6137433.5;587798.95,6137434.16;587798.59,6137431.04;587802.9,6137430.54;587804.33,6137430.37"
54,1114607413,Bygning,"Polygon;587836.98,6137602.22;587836.13,6137596.57;587839.06,6137596.14;587839.92,6137601.77;587836.98,6137602.22"
55,1095487412,Bygning,"Polygon;587926.81,6137514.63;587921.4,6137515.37;587920.96,6137512.15;587926.37,6137511.41;587926.81,6137514.63"
56,1071766657,Bygning,"Polygon;587841.78,6137425.86;587834.44,6137426.78;587833.99,6137423.25;587841.53,6137422.32;587841.68,6137423.57;587850.42,6137422.49;587850.7,6137424.59;587841.78,6137425.86"
57,1071746108,Bygning,"Polygon;587787.72,6137585.69;587784.92,6137590.27;587778.04,6137586.06;587779.07,6137584.38;587776.9,6137583.05;587781.73,6137575.14;587790.25,6137580.36;587790.78,6137580.69;587787.72,6137585.69"
58,1071746109,Bygning,"Polygon;587790.04,6137587.11;587787.72,6137585.69;587790.78,6137580.69;587790.25,6137580.36;587790.96,6137579.2;587793.65,6137580.85;587790.04,6137587.11"
59,1114607410,Bygning,"Polygon;587835.54,6137592.59;587835.65,6137593.35;587836.13,6137596.57;587836.98,6137602.22;587837.1,6137602.97;587826.7,6137604.55;587826.59,6137603.83;587823.79,6137604.26;587823.72,6137603.74;587823.01,6137603.29;587822.44,6137602.64;587822.43,6137601.73;587822.52,6137601.13;587822.88,6137600.34;587822.82,6137599.9;587825.99,6137599.42;587825.31,6137594.94;587829.81,6137594.25;587829.33,6137591.11;587835.18,6137590.22;587835.54,6137592.59"
60,1071766656,Bygning,"Polygon;587841.53,6137422.32;587840.5,6137413.63;587850.59,6137412.44;587850.89,6137414.98;587856.31,6137414.36;587856.1,6137412.57;587860.46,6137412.04;587861.22,6137418.6;587857.37,6137419.05;587857.68,6137421.63;587850.42,6137422.49;587841.68,6137423.57;587841.53,6137422.32"
61,1071717757,Bygning,"Polygon;587802.9,6137430.54;587801.58,6137419.14;587811.95,6137418.01;587812.52,6137422.88;587813.91,6137422.72;587814.54,6137428.13;587813.2,6137428.29;587813.22,6137428.5;587810.78,6137428.79;587804.24,6137429.55;587804.33,6137430.37;587802.9,6137430.54"
62,1095498795,Bygning,"Polygon;587798.69,6137455.9;587794.26,6137453.36;587795.97,6137450.37;587800.4,6137452.91;587798.69,6137455.9"
63,1071746111,Bygning,"Polygon;587795.39,6137584.51;587803.72,6137589.59;587799.7,6137596.18;587791.37,6137591.1;587791.62,6137590.69;587795.39,6137584.51"
64,1034235045,Bygning,"Polygon;587900.48,6137545.87;587899.34,6137536.9;587908.81,6137535.7;587909.95,6137544.67;587900.48,6137545.87"
65,1071726171,Bygning,"Polygon;587812.04,6137604.35;587811.85,6137604.64;587804.19,6137599.57;587809.23,6137591.96;587816.91,6137596.85;587815.45,6137599.06;587812.04,6137604.35"
66,1071726172,Bygning,"Polygon;587815.45,6137599.06;587817.91,6137600.69;587817.33,6137601.58;587818.55,6137602.39;587817.23,6137604.38;587817.87,6137604.8;587816.43,6137606.98;587814.67,6137605.81;587814.54,6137606.0;587812.04,6137604.35;587815.45,6137599.06"
67,1071756966,Bygning,"Polygon;587927.68,6137546.81;587927.9,6137548.6;587917.67,6137549.91;587917.06,6137544.77;587919.44,6137544.5;587918.97,6137540.53;587926.8,6137539.59;587927.68,6137546.81"
68,1071742697,Bygning,"Polygon;587771.39,6137494.24;587773.47,6137495.56;587769.63,6137499.8;587768.0,6137498.76;587768.25,6137498.37;587768.62,6137498.61;587771.39,6137494.24"
69,1034234989,Bygning,"Polygon;587769.84,6137537.7;587775.87,6137530.38;587778.37,6137532.44;587777.3,6137533.75;587781.35,6137537.09;587776.39,6137543.1;587769.84,6137537.7"
70,1034234992,Bygning,"Polygon;587776.57,6137505.42;587779.45,6137502.35;587777.8,6137500.79;587784.76,6137493.38;587791.28,6137499.51;587781.44,6137509.99;587776.57,6137505.42"
71,1071764168,Bygning,"Polygon;587766.61,6137443.95;587768.6,6137440.74;587771.17,6137442.34;587768.02,6137446.87;587765.77,6137445.47;587766.61,6137443.95"
72,1071741138,Bygning,"Polygon;587809.55,6137461.49;587809.18,6137458.32;587817.29,6137457.38;587817.64,6137460.44;587809.55,6137461.49"
73,1034235016,Bygning,"Polygon;587813.47,6137557.67;587816.59,6137557.36;587817.04,6137561.87;587813.92,6137562.18;587813.47,6137557.67"
74,1034242783,Bygning,"Polygon;587896.98,6137444.93;587904.38,6137444.0;587904.84,6137447.67;587897.44,6137448.6;587896.98,6137444.93"
75,1071756965,Bygning,"Polygon;587926.8,6137539.59;587926.76,6137539.25;587928.74,6137538.99;587928.94,6137540.45;587932.25,6137540.09;587932.97,6137546.19;587927.68,6137546.81;587926.8,6137539.59"
76,1095492193,Bygning,"Polygon;587884.83,6137596.46;587882.42,6137596.9;587881.98,6137594.47;587884.39,6137594.03;587884.83,6137596.46"
77,1034242906,Bygning,"Polygon;587913.05,6137510.2;587913.81,6137516.15;587912.03,6137516.38;587911.28,6137510.42;587913.05,6137510.2"
78,1034235237,Bygning,"Polygon;587840.25,6137574.73;587840.67,6137578.67;587838.05,6137578.95;587837.63,6137575.01;587840.25,6137574.73"
79,1067402680,Bygning,"Polygon;587864.77,6137547.31;587866.41,6137547.1;587868.82,6137566.28;587861.09,6137567.25;587859.47,6137554.38;587855.9,6137554.83;587855.1,6137548.52;587857.15,6137548.27;587855.97,6137538.89;587863.6,6137537.93;587864.77,6137547.31"
80,1071764121,Bygning,"Polygon;587765.3,6137563.27;587766.43,6137563.87;587759.39,6137577.23;587752.41,6137573.55;587753.05,6137572.34;587748.38,6137569.88;587750.86,6137565.16;587755.6,6137567.66;587757.6,6137563.88;587756.99,6137563.55;587758.74,6137560.24;587758.93,6137559.89;587765.3,6137563.27"
81,1071717758,Bygning,"Polygon;587804.33,6137430.37;587804.24,6137429.55;587810.78,6137428.79;587811.24,6137432.74;587804.69,6137433.5;587804.33,6137430.37"
82,1071722109,Bygning,"Polygon;587849.65,6137458.36;587850.86,6137466.14;587843.33,6137467.31;587842.72,6137463.37;587842.25,6137463.44;587841.56,6137458.98;587847.87,6137458.0;587849.55,6137457.74;587849.65,6137458.36"
83,1071730635,Bygning,"Polygon;587768.51,6137548.62;587771.12,6137550.2;587766.28,6137558.21;587757.76,6137553.07;587762.6,6137545.06;587764.12,6137545.98;587768.51,6137548.62"
84,1071719250,Bygning,"Polygon;587734.7,6137552.65;587732.02,6137551.33;587737.05,6137541.04;587744.67,6137544.76;587741.81,6137550.62;587736.87,6137548.21;587734.7,6137552.65"
85,1071719251,Bygning,"Polygon;587741.81,6137550.62;587745.13,6137552.24;587740.86,6137560.98;587732.6,6137556.94;587734.7,6137552.65;587736.87,6137548.21;587741.81,6137550.62"
86,1095496149,Bygning,"Polygon;587868.81,6137473.49;587869.17,6137476.17;587866.07,6137476.59;587865.71,6137473.91;587868.81,6137473.49"
87,1114481659,Bygning,"Polygon;587863.49,6137471.36;587869.46,6137470.55;587869.04,6137467.47;587863.07,6137468.28;587863.49,6137471.36"
88,1202727470,Bygning,"Polygon;587885.97,6137578.56;587888.4,6137578.22;587888.79,6137581.08;587886.36,6137581.42;587885.97,6137578.56"
89,1095483255,Bygning,"Polygon;587807.8,6137546.21;587805.65,6137546.51;587805.28,6137543.81;587807.43,6137543.52;587807.8,6137546.21"
