ID,time,lat,latDir,lon,lonDir,fix,nSat,hError,note,typename,date
95,122555.75,55.37570182,N,10.38611168,E,4,6,3.8,,Downspout Grille,08/11/2020
96,122615.3,55.37566123,N,10.38613558,E,4,7,2.1,,Light Fixture,08/11/2020
97,122652.4,55.3755431,N,10.38607102,E,4,8,3.6,,Downspout Grille,08/11/2020
98,122727.45,55.37544452,N,10.3859954,E,4,9,1.1,,Manhole Cover,08/11/2020
99,122747.3,55.37540865,N,10.38607235,E,4,11,0.9,,Light Fixture,08/11/2020
100,122803.3,55.375358,N,10.38602613,E,4,9,1.1,,Downspout Grille,08/11/2020
101,122840.65,55.37519293,N,10.38598232,E,4,6,3.7,,Downspout Grille,08/11/2020
102,122916.2,55.37515782,N,10.38601062,E,4,12,0.9,,Fuse Box,08/11/2020
103,122922.8,55.3751515,N,10.38600537,E,4,14,0.8,,Light Fixture,08/11/2020
104,122954.65,55.37516475,N,10.38585685,E,4,7,1.7,,Manhole Cover,08/11/2020
105,123109.05,55.37533155,N,10.38594585,E,4,6,3.9,,Downspout Grille,08/11/2020
106,123238.8,55.37557428,N,10.38598128,E,4,9,1.1,,Downspout Grille,08/11/2020
108,123407.9,55.37602093,N,10.3860228,E,5,6,2,,Tree,08/11/2020
109,123428.25,55.3760679,N,10.38602655,E,5,5,2,,Tree,08/11/2020
110,123446.25,55.37604917,N,10.38588293,E,5,7,2.1,,Tree,08/11/2020
112,123614.05,55.37649758,N,10.38514445,E,4,8,1.2,,Fuse Box,08/11/2020
114,123700.2,55.37664938,N,10.38519435,E,4,10,1.7,,Fuse Box,08/11/2020
115,123842.95,55.37691857,N,10.3858252,E,4,9,1,,Fuse Box,08/11/2020
116,124138.3,55.37726453,N,10.38474367,E,4,9,1.3,,Building Corner,08/11/2020
117,124236.15,55.3774513,N,10.38519238,E,4,9,1.1,,Building Corner,08/11/2020
119,124256.2,55.37734283,N,10.38504978,E,4,10,1.5,,Building Corner,08/11/2020
120,124652.15,55.3765567,N,10.38466775,E,4,8,1.7,,Fuse Box,08/11/2020
121,124909.75,55.3761547,N,10.38630718,E,4,9,1.3,,Fuse Box,08/11/2020
122,125009.9,55.37620083,N,10.3869814,E,4,6,2.7,,Fuse Box,08/11/2020
123,125202.5,55.376096,N,10.38754427,E,5,11,1,,Tree,08/11/2020
124,132831.45,55.37555325,N,10.38502282,E,4,10,1.4,New from here,Downspout Grille,14/11/2020
126,133152.9,55.37594332,N,10.38584818,E,5,8,2.2,,Tree,14/11/2020
129,133455.35,55.37593535,N,10.38602647,E,5,9,2,,Tree,14/11/2020
136,134229.05,55.37625083,N,10.38619022,E,4,8,1.7,,Downspout Grille,14/11/2020
142,134803.65,55.3760382,N,10.38483698,E,4,5,2.4,,Tree,14/11/2020
144,135019.95,55.37609793,N,10.38460007,E,4,5,2.8,,Tree,14/11/2020
143,N/A,55.3769121,N,10.38635568,E,4,N/A,N/A,,Downspout Grille,16/11/2020
