Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Feature,Accessibility,Occluded Visibility,Domain,Category,Note,,
Nedloebsrist,Downspout Grille,1103669524,23,55.408355922848266,10.377626787051662,9/12/2020 18:55:12,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669511,22,55.40803176047412,10.380003235466122,9/12/2020 19:45:31,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1103669460,21,55.40769621982448,10.37783301576972,9/12/2020 19:02:39,Exists,83,75,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669454,20,55.40782611312306,10.377598559277644,9/12/2020 19:01:17,Exists,44,30,Public,True Positive,,,
Mast,Mast (light fixture),1103669352,19,55.40817038041718,10.380102837425314,9/12/2020 19:39:27,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669349,18,55.40874134452012,10.37828259179768,9/12/2020 18:34:03,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669286,17,55.40814166179843,10.378465787166682,9/12/2020 19:10:08,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669276,16,55.40862973254577,10.377995182028325,9/12/2020 18:47:04,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669263,15,55.40797854437506,10.37817943147354,9/12/2020 19:11:57,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669238,14,55.408545107260316,10.379738236870054,9/12/2020 19:26:56,Exists,67,85,Public,True Positive,,,
Mast,Mast (light fixture),1103669199,13,55.40839531657019,10.378222212549852,9/12/2020 18:53:19,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669160,12,55.408896617362295,10.378786497933522,9/12/2020 18:33:14,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103669104,11,55.40910368354339,10.378960824728,9/12/2020 18:32:45,Exists,61,65,Public,True Positive,,,
Mast,Mast (light fixture),1103668985,10,55.407608603129034,10.378151707049696,9/12/2020 19:04:59,Exists,56,10,Public,True Positive,,,
Mast,Mast (light fixture),1103668969,9,55.40909307076452,10.377885103747404,9/12/2020 18:35:21,Exists,69,50,Public,True Positive,,,
Mast,Mast (light fixture),1103668957,8,55.408350938433884,10.379137573941446,9/12/2020 19:23:20,Exists,19,65,Public,True Positive,,,
Mast,Mast (light fixture),1103668917,7,55.40844918747628,10.37943826114132,9/12/2020 19:24:12,Exists,100,100,Public,True Positive,,,
Mast,Mast (light fixture),1103668882,6,55.409026705022356,10.379276262525517,9/12/2020 18:32:00,Exists,78,75,Public,True Positive,,,
Broenddaeksel,Manhole Cover,1034480008,5,55.408681351987866,10.378191418110863,9/12/2020 18:46:40,Exists,100,100,Public,True Positive,,,
Broenddaeksel,Manhole Cover,1103666045,4,55.40815123933807,10.38008684901604,9/12/2020 19:40:43,Exists,100,100,Public,True Positive,,,
Broenddaeksel,Manhole Cover,1103665953,3,55.4081486287646,10.380142988339685,9/12/2020 19:41:03,Exists,31,0,Public,True Positive,,,
